,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,clusters,cluster
136,34.0,1,269,2.94,1,336,1,purple
137,79.0,5,91,1.04,2,348,1,purple
138,79.0,5,64,0.61,2,0,0,pink
139,41.0,3,170,1.49,1,302,1,purple
140,42.0,3,4,0.03,1,41,0,pink
141,80.0,60,6,0.07,2,288,1,purple
142,98.0,10,39,0.4,1,195,1,purple
143,32.0,2,30,0.26,1,220,1,purple
144,59.0,3,36,0.41,1,324,1,purple
145,82.0,90,40,0.34,2,103,0,pink
146,84.0,3,178,1.58,1,219,1,purple
147,45.0,2,19,0.27,2,268,1,purple
148,30.0,3,489,4.15,2,65,0,pink
149,47.0,91,103,0.92,2,67,0,pink
150,22.0,3,147,2.22,2,0,0,pink
151,29.0,5,25,0.34,2,193,1,purple
152,100.0,4,69,0.75,1,271,1,purple
153,95.0,5,0,0.72,3,267,1,purple
154,95.0,5,1,0.03,3,272,1,purple
155,62.0,2,123,1.21,6,294,1,purple
156,190.0,2,35,0.54,1,340,1,purple
157,101.0,1,277,2.52,2,188,1,purple
158,100.0,1,221,2.02,2,190,1,purple
159,68.0,2,115,1.5,1,340,1,purple
160,150.0,4,126,1.27,1,99,0,pink
161,70.0,2,127,1.11,3,103,0,pink
162,90.0,4,52,0.65,3,162,1,purple
163,93.0,30,123,1.16,3,362,1,purple
164,25.0,30,9,0.1,2,12,0,pink
165,21.0,30,6,0.06,2,0,0,pink
166,59.0,2,178,1.63,1,225,1,purple
167,70.0,63,8,0.11,3,103,0,pink
168,50.0,22,48,0.5,3,88,0,pink
169,45.0,90,7,0.1,3,276,1,purple
170,54.0,3,7,0.06,4,365,1,purple
171,63.0,3,9,0.37,4,365,1,purple
172,60.0,3,10,0.14,4,365,1,purple
173,99.0,3,34,0.49,4,278,1,purple
174,200.0,1,102,0.95,2,162,1,purple
175,94.0,3,28,0.26,4,365,1,purple
176,65.0,3,40,0.81,2,1,0,pink
177,62.0,5,31,0.35,1,306,1,purple
178,61.0,3,10,0.17,4,298,1,purple
179,75.0,3,11,0.21,4,278,1,purple
180,98.0,3,22,0.52,4,286,1,purple
181,61.0,5,16,0.24,1,293,1,purple
182,40.0,1,52,0.53,1,145,0,pink
183,64.0,4,90,0.94,1,49,0,pink
184,56.0,60,2,0.02,1,172,1,purple
185,25.0,2,147,1.38,1,74,0,pink
186,35.0,2,40,0.37,3,126,0,pink
187,30.0,2,177,1.84,3,0,0,pink
188,30.0,2,56,0.61,3,0,0,pink
189,80.0,93,95,0.88,3,230,1,purple
190,50.0,93,103,0.96,3,255,1,purple
191,18.0,6,14,0.37,1,0,0,pink
192,61.0,2,183,2.66,1,127,0,pink
193,66.0,3,132,1.14,1,278,1,purple
194,95.0,2,223,2.87,1,5,0,pink
195,58.0,3,76,0.85,2,298,1,purple
196,85.0,4,128,1.28,1,18,0,pink
197,36.0,1,91,0.85,1,356,1,purple
198,65.0,2,103,1.06,3,241,1,purple
199,108.0,1,173,1.74,1,1,0,pink
200,136.0,7,75,0.8,1,169,1,purple
201,29.0,2,15,0.49,1,162,1,purple
202,76.0,3,560,5.01,2,53,0,pink
203,123.0,1,48,0.71,26,293,1,purple
204,50.0,1,7,0.1,26,34,0,pink
205,64.0,1,43,0.76,26,315,1,purple
206,27.0,1,49,0.64,26,293,1,purple
207,45.0,1,17,0.2,26,324,1,purple
208,42.0,93,11,0.13,1,161,1,purple
209,85.0,3,9,0.11,1,162,1,purple
210,65.0,2,133,1.49,1,233,1,purple
211,48.0,3,26,0.32,1,5,0,pink
212,59.0,3,24,0.24,1,249,1,purple
213,65.0,1,2,0.06,1,0,0,pink
214,52.0,3,224,1.99,1,324,1,purple
215,69.0,10,99,1.38,1,28,0,pink
216,65.0,3,8,0.09,2,103,0,pink
217,64.0,5,18,0.17,2,134,0,pink
218,79.0,25,65,0.59,1,189,1,purple
219,40.0,21,4,0.04,1,173,1,purple
220,71.0,5,44,0.39,1,214,1,purple
221,29.0,3,0,0.72,1,0,0,pink
222,31.0,1,620,5.75,4,312,1,purple
223,64.0,2,57,0.53,2,0,0,pink
224,66.0,3,64,0.68,2,0,0,pink
225,49.0,3,35,0.4,1,333,1,purple
226,32.0,2,245,2.17,2,49,0,pink
227,71.0,3,263,2.62,1,206,1,purple
228,159.0,4,212,1.88,2,178,1,purple
229,71.0,4,3,0.05,1,0,0,pink
230,65.0,3,12,0.12,1,0,0,pink
231,248.0,3,190,1.78,1,294,1,purple
232,47.0,30,3,0.2,10,315,1,purple
233,27.0,2,197,1.85,1,0,0,pink
234,43.0,2,79,0.74,1,362,1,purple
235,77.0,7,82,0.85,1,167,1,purple
236,38.0,4,92,1.08,1,0,0,pink
237,45.0,2,261,2.71,3,262,1,purple
238,50.0,2,96,0.87,3,282,1,purple
239,155.0,1,182,1.92,3,305,1,purple
240,57.0,3,356,3.67,10,360,1,purple
241,72.0,3,349,3.65,10,345,1,purple
242,28.0,3,52,0.46,10,362,1,purple
243,28.0,3,79,0.75,10,361,1,purple
244,47.0,3,166,1.46,10,362,1,purple
245,47.0,3,189,1.81,10,362,1,purple
246,35.0,5,12,0.18,1,0,0,pink
247,58.0,2,13,0.12,1,268,1,purple
248,66.0,61,6,0.08,1,364,1,purple
249,65.0,2,331,3.0,1,344,1,purple
250,63.0,1,257,4.04,2,331,1,purple
251,75.0,2,181,1.69,2,117,0,pink
252,43.0,60,4,0.06,1,315,1,purple
253,33.0,14,91,0.95,1,2,0,pink
254,18.0,10,51,0.46,1,264,1,purple
255,74.0,6,6,0.07,1,0,0,pink
256,28.0,5,2,0.03,1,0,0,pink
257,60.0,45,1,0.01,1,12,0,pink
258,55.0,2,139,1.44,1,288,1,purple
259,54.0,3,72,0.71,1,0,0,pink
260,110.0,4,59,0.67,2,3,0,pink
261,91.0,7,371,3.3,1,298,1,purple
262,78.0,5,9,0.08,1,0,0,pink
263,56.0,2,19,0.31,1,0,0,pink
264,80.0,3,243,2.46,2,308,1,purple
265,35.0,5,63,0.56,1,348,1,purple
266,49.0,180,16,0.16,1,194,1,purple
267,67.0,180,56,0.58,3,0,0,pink
268,28.0,1,44,0.44,1,48,0,pink
269,65.0,180,34,0.32,3,0,0,pink
270,80.0,20,19,0.26,1,56,0,pink
271,80.0,4,33,0.42,1,146,0,pink
272,69.0,4,33,0.71,4,288,1,purple
273,168.0,12,5,0.06,1,0,0,pink
274,40.0,3,141,1.33,2,301,1,purple
275,49.0,2,55,1.94,1,106,0,pink
276,45.0,84,165,1.61,2,178,1,purple
277,109.0,3,199,1.84,1,325,1,purple
278,145.0,2,17,0.15,1,364,1,purple
279,25.0,10,10,1.15,1,0,0,pink
280,50.0,3,11,0.15,1,0,0,pink
281,100.0,5,54,0.54,1,193,1,purple
282,70.0,2,233,4.08,2,199,1,purple
283,85.0,2,176,2.89,2,145,1,purple
284,31.0,183,20,0.19,3,163,1,purple
285,75.0,7,0,0.72,1,0,0,pink
286,45.0,2,104,1.2,1,163,1,purple
287,35.0,8,43,0.4,1,0,0,pink
