,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,Price category,Rental availability,Host type
55,Neukölln,52.4905,13.42579,Entire home/apt,60.0,2,44,0.4,1,302,Low price,Long term,Private host
56,Friedrichshain-Kreuzberg,52.48924,13.42371,Entire home/apt,521.0,3,112,1.03,2,0,High price,Short term,Private host
57,Pankow,52.5401,13.4098,Private room,45.0,4,11,0.5,1,357,Low price,Long term,Private host
58,Charlottenburg-Wilm.,52.49857,13.30332,Entire home/apt,40.0,70,32,0.37,1,199,Low price,Long term,Private host
59,Pankow,52.5358,13.43675,Entire home/apt,76.0,60,97,1.01,2,131,Low price,Middle term,Private host
60,Friedrichshain-Kreuzberg,52.52332,13.45033,Entire home/apt,89.0,4,86,0.81,1,315,Middle price,Long term,Private host
61,Mitte,52.5272,13.40952,Entire home/apt,75.0,5,114,1.08,1,0,Low price,Short term,Private host
62,Tempelhof - Schöneberg,52.48577,13.35133,Entire home/apt,131.0,3,94,0.93,1,194,Middle price,Long term,Private host
63,Pankow,52.58178,13.3962,Entire home/apt,75.0,2,10,0.36,1,311,Low price,Long term,Private host
64,Charlottenburg-Wilm.,52.49215,13.29605,Entire home/apt,86.0,3,0,,1,363,Middle price,Long term,Private host
65,Friedrichshain-Kreuzberg,52.49989,13.4448,Entire home/apt,68.0,60,85,0.83,1,254,Low price,Long term,Private host
66,Mitte,52.52536,13.40488,Entire home/apt,99.0,2,548,4.81,6,306,Middle price,Long term,Commercial host
67,Friedrichshain-Kreuzberg,52.50894,13.46075,Entire home/apt,59.0,5,21,0.29,1,280,Low price,Long term,Private host
68,Tempelhof - Schöneberg,52.49944,13.34685,Entire home/apt,81.0,1,263,2.49,1,112,Middle price,Middle term,Private host
69,Friedrichshain-Kreuzberg,52.51604,13.46059,Private room,70.0,3,136,1.41,1,0,Low price,Short term,Private host
70,Tempelhof - Schöneberg,52.48033,13.3609,Entire home/apt,54.0,3,210,1.75,1,288,Low price,Long term,Private host
71,Pankow,52.54705,13.40917,Entire home/apt,28.0,183,39,0.36,3,133,Low price,Middle term,Commercial host
72,Friedrichshain-Kreuzberg,52.49681,13.41758,Entire home/apt,80.0,7,17,0.67,1,349,Middle price,Long term,Private host
73,Mitte,52.51727,13.42393,Entire home/apt,36.0,90,96,0.98,1,193,Low price,Long term,Private host
74,Mitte,52.5314,13.34158,Private room,30.0,2,315,2.91,1,291,Low price,Long term,Private host
75,Charlottenburg-Wilm.,52.47844,13.30973,Entire home/apt,161.0,2,77,1.02,1,161,Middle price,Middle term,Private host
76,Neukölln,52.47705,13.44574,Private room,42.0,5,51,0.43,1,59,Low price,Short term,Private host
77,Friedrichshain-Kreuzberg,52.49919,13.43648,Entire home/apt,111.0,5,20,0.17,1,31,Middle price,Short term,Private host
78,Pankow,52.58045,13.44398,Entire home/apt,49.0,2,7,0.06,1,337,Low price,Long term,Private host
79,Tempelhof - Schöneberg,52.47047,13.32999,Private room,30.0,1,18,0.25,1,193,Low price,Long term,Private host
80,Mitte,52.54533,13.39887,Private room,50.0,5,7,0.06,1,362,Low price,Long term,Private host
81,Mitte,52.52889,13.40726,Entire home/apt,80.0,2,33,0.3,1,193,Middle price,Long term,Private host
