,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,Price category,Rental availability,Host type
2903,Friedrichshain-Kreuzberg,52.49641,13.43486,Private room,25.0,1,3,0.04,1,0,Low price,Short term,Private host
2904,Friedrichshain-Kreuzberg,52.51057,13.45716,Entire home/apt,78.0,1,0,,1,0,Low price,Short term,Private host
2905,Reinickendorf,52.57341,13.28788,Entire home/apt,79.0,2,99,1.39,1,43,Low price,Short term,Private host
2906,Mitte,52.53623,13.39844,Private room,90.0,5,27,0.4,2,330,Middle price,Long term,Private host
2907,Mitte,52.52371,13.33046,Entire home/apt,99.0,14,61,0.84,1,347,Middle price,Long term,Private host
2908,Tempelhof - Schöneberg,52.49192,13.37017,Private room,28.0,2,112,1.6,1,0,Low price,Short term,Private host
2909,Tempelhof - Schöneberg,52.47216,13.38634,Entire home/apt,88.0,4,48,0.7,5,225,Middle price,Long term,Commercial host
2910,Friedrichshain-Kreuzberg,52.49454,13.41287,Entire home/apt,70.0,3,1,0.01,1,0,Low price,Short term,Private host
2911,Mitte,52.54752,13.37297,Private room,30.0,1,0,,1,0,Low price,Short term,Private host
2912,Friedrichshain-Kreuzberg,52.50686,13.47037,Private room,30.0,3,5,0.1,1,0,Low price,Short term,Private host
2913,Friedrichshain-Kreuzberg,52.48666,13.3938,Entire home/apt,140.0,5,0,,2,0,Middle price,Short term,Private host
2914,Friedrichshain-Kreuzberg,52.4868,13.39127,Entire home/apt,145.0,5,17,0.24,2,0,Middle price,Short term,Private host
2915,Friedrichshain-Kreuzberg,52.51013,13.46754,Private room,15.0,1,0,,1,0,Low price,Short term,Private host
2916,Neukölln,52.47357,13.42202,Entire home/apt,97.0,7,1,0.01,1,0,Middle price,Short term,Private host
2917,Pankow,52.53504,13.42812,Private room,40.0,1,0,,1,0,Low price,Short term,Private host
2918,Neukölln,52.48498,13.42729,Private room,21.0,3,0,,1,0,Low price,Short term,Private host
2919,Mitte,52.52788,13.31803,Private room,22.0,1,0,,1,0,Low price,Short term,Private host
2920,Pankow,52.56175,13.40347,Entire home/apt,45.0,1,7,0.12,1,1,Low price,Short term,Private host
2921,Pankow,52.53547,13.43253,Entire home/apt,90.0,7,1,0.01,1,0,Middle price,Short term,Private host
2922,Steglitz - Zehlendorf,52.46305,13.33056,Private room,30.0,2,5,0.07,1,0,Low price,Short term,Private host
2923,Mitte,52.52878,13.32461,Private room,53.0,2,1,0.01,1,0,Low price,Short term,Private host
2924,Tempelhof - Schöneberg,52.48632,13.35499,Entire home/apt,44.0,1,127,2.27,1,127,Low price,Middle term,Private host
2925,Mitte,52.54856,13.36848,Private room,40.0,2,5,0.07,1,0,Low price,Short term,Private host
2926,Friedrichshain-Kreuzberg,52.50277,13.43138,Entire home/apt,45.0,1,3,0.04,1,0,Low price,Short term,Private host
2927,Mitte,52.53197,13.38892,Entire home/apt,119.0,1,186,2.77,1,37,Middle price,Short term,Private host
2928,Neukölln,52.48016,13.45133,Private room,24.0,1,1,0.01,1,0,Low price,Short term,Private host
2929,Mitte,52.53723,13.39637,Entire home/apt,64.0,2,92,1.31,1,250,Low price,Long term,Private host
2930,Pankow,52.532,13.40902,Entire home/apt,89.0,3,25,0.35,1,0,Middle price,Short term,Private host
2931,Charlottenburg-Wilm.,52.51498,13.29984,Entire home/apt,57.0,1,0,,1,0,Low price,Short term,Private host
2932,Friedrichshain-Kreuzberg,52.52427,13.43033,Entire home/apt,40.0,1,1,0.01,1,0,Low price,Short term,Private host
2933,Friedrichshain-Kreuzberg,52.49884,13.43665,Private room,45.0,7,2,0.03,1,0,Low price,Short term,Private host
2934,Neukölln,52.48283,13.43545,Private room,38.0,3,5,0.08,1,0,Low price,Short term,Private host
2935,Friedrichshain-Kreuzberg,52.49558,13.43698,Private room,20.0,7,3,0.04,1,0,Low price,Short term,Private host
2936,Friedrichshain-Kreuzberg,52.51704,13.46504,Private room,25.0,7,3,0.08,1,0,Low price,Short term,Private host
2937,Friedrichshain-Kreuzberg,52.48964,13.38072,Entire home/apt,59.0,2,392,5.5,6,318,Low price,Long term,Commercial host
2938,Mitte,52.52147,13.34449,Entire home/apt,106.0,3,12,0.18,2,299,Middle price,Long term,Private host
2939,Neukölln,52.48738,13.44133,Entire home/apt,55.0,1,5,0.07,1,0,Low price,Short term,Private host
2940,Mitte,52.53587,13.40404,Private room,20.0,1,2,0.09,1,0,Low price,Short term,Private host
2941,Friedrichshain-Kreuzberg,52.49682,13.44568,Private room,25.0,2,2,0.03,2,0,Low price,Short term,Private host
2942,Friedrichshain-Kreuzberg,52.50481,13.46484,Entire home/apt,111.0,2,17,0.34,1,0,Middle price,Short term,Private host
2943,Friedrichshain-Kreuzberg,52.48825,13.4252,Private room,25.0,3,12,0.17,1,0,Low price,Short term,Private host
2944,Neukölln,52.48358,13.43776,Entire home/apt,45.0,1,0,,1,0,Low price,Short term,Private host
2945,Mitte,52.53517,13.34848,Entire home/apt,45.0,2,4,0.06,1,0,Low price,Short term,Private host
2946,Friedrichshain-Kreuzberg,52.49685,13.41117,Entire home/apt,81.0,4,2,0.03,1,0,Middle price,Short term,Private host
2947,Mitte,52.5229,13.36035,Entire home/apt,45.0,3,9,0.19,3,12,Low price,Short term,Commercial host
2948,Friedrichshain-Kreuzberg,52.48525,13.37566,Entire home/apt,26.0,5,0,,1,0,Low price,Short term,Private host
2949,Friedrichshain-Kreuzberg,52.51872,13.46437,Entire home/apt,53.0,5,2,0.03,1,0,Low price,Short term,Private host
2950,Pankow,52.54014,13.41941,Shared room,98.0,3,6,0.09,1,0,Middle price,Short term,Private host
2951,Tempelhof - Schöneberg,52.47385,13.38592,Entire home/apt,210.0,4,69,0.98,5,251,Middle price,Long term,Commercial host
2952,Pankow,52.53578,13.41853,Entire home/apt,65.0,1,0,,1,0,Low price,Short term,Private host
2953,Tempelhof - Schöneberg,52.47417,13.38614,Entire home/apt,124.0,4,44,0.68,5,251,Middle price,Long term,Commercial host
2954,Tempelhof - Schöneberg,52.49176,13.35192,Entire home/apt,35.0,1,1,0.01,1,0,Low price,Short term,Private host
2955,Pankow,52.54752,13.4075,Entire home/apt,90.0,4,7,0.1,1,0,Middle price,Short term,Private host
2956,Reinickendorf,52.56145,13.37556,Private room,25.0,3,5,0.07,1,0,Low price,Short term,Private host
2957,Neukölln,52.48863,13.43419,Entire home/apt,57.0,60,34,0.54,1,87,Low price,Short term,Private host
2958,Neukölln,52.48835,13.43517,Entire home/apt,50.0,2,10,0.17,1,0,Low price,Short term,Private host
2959,Pankow,52.53215,13.43204,Private room,49.0,1,92,1.29,1,312,Low price,Long term,Private host
2960,Mitte,52.51898,13.40392,Private room,62.0,2,13,0.58,3,180,Low price,Middle term,Commercial host
2961,Mitte,52.53285,13.34813,Entire home/apt,90.0,2,0,,1,0,Middle price,Short term,Private host
2962,Neukölln,52.48566,13.42871,Private room,25.0,2,7,0.15,1,0,Low price,Short term,Private host
2963,Charlottenburg-Wilm.,52.49303,13.3323,Private room,80.0,14,0,,1,0,Middle price,Short term,Private host
2964,Tempelhof - Schöneberg,52.49149,13.36752,Private room,25.0,4,8,0.28,1,0,Low price,Short term,Private host
2965,Tempelhof - Schöneberg,52.49171,13.35117,Entire home/apt,50.0,4,6,0.08,2,0,Low price,Short term,Private host
2966,Neukölln,52.49318,13.42657,Private room,80.0,30,0,,1,365,Middle price,Long term,Private host
2967,Pankow,52.52941,13.4074,Entire home/apt,99.0,3,1,0.01,1,0,Middle price,Short term,Private host
2968,Neukölln,52.47401,13.44634,Entire home/apt,74.0,8,4,0.07,1,0,Low price,Short term,Private host
2969,Mitte,52.54073,13.37051,Entire home/apt,40.0,30,2,0.08,5,361,Low price,Long term,Commercial host
2970,Treptow - Köpenick,52.48995,13.45246,Private room,56.0,1,0,,1,0,Low price,Short term,Private host
2971,Mitte,52.5456,13.35709,Entire home/apt,32.0,4,7,0.1,1,0,Low price,Short term,Private host
2972,Tempelhof - Schöneberg,52.46682,13.34131,Entire home/apt,40.0,14,0,,1,0,Low price,Short term,Private host
2973,Mitte,52.53788,13.40071,Private room,15.0,5,0,,1,0,Low price,Short term,Private host
2974,Mitte,52.51884,13.4042,Entire home/apt,89.0,2,1,0.05,1,364,Middle price,Long term,Private host
2975,Neukölln,52.47975,13.43609,Private room,16.0,1,0,,1,0,Low price,Short term,Private host
2976,Mitte,52.53351,13.40693,Entire home/apt,120.0,4,18,0.27,1,0,Middle price,Short term,Private host
2977,Mitte,52.5499,13.34962,Private room,35.0,5,8,0.11,2,2,Low price,Short term,Private host
2978,Mitte,52.52291,13.37966,Entire home/apt,125.0,3,0,,1,0,Middle price,Short term,Private host
2979,Pankow,52.54075,13.41028,Private room,44.0,1,219,3.68,1,0,Low price,Short term,Private host
2980,Tempelhof - Schöneberg,52.4862,13.34432,Private room,25.0,3,4,0.13,1,0,Low price,Short term,Private host
2981,Neukölln,52.4691,13.42646,Entire home/apt,34.0,1,1,0.01,1,0,Low price,Short term,Private host
2982,Mitte,52.55564,13.34483,Entire home/apt,70.0,1,2,0.03,1,0,Low price,Short term,Private host
2983,Tempelhof - Schöneberg,52.48904,13.3559,Private room,35.0,7,0,,1,0,Low price,Short term,Private host
2984,Pankow,52.53493,13.4213,Private room,48.0,3,34,0.48,1,0,Low price,Short term,Private host
2985,Friedrichshain-Kreuzberg,52.49613,13.41756,Private room,18.0,4,1,0.01,1,0,Low price,Short term,Private host
2986,Neukölln,52.47879,13.42398,Private room,40.0,1,0,,1,0,Low price,Short term,Private host
2987,Neukölln,52.47972,13.4476,Entire home/apt,60.0,2,6,0.08,1,0,Low price,Short term,Private host
2988,Neukölln,52.47848,13.44633,Private room,20.0,1,0,,1,0,Low price,Short term,Private host
2989,Pankow,52.53672,13.42522,Entire home/apt,60.0,6,4,0.15,1,0,Low price,Short term,Private host
2990,Mitte,52.50865,13.3746,Entire home/apt,115.0,4,9,0.16,1,40,Middle price,Short term,Private host
2991,Mitte,52.52747,13.39262,Entire home/apt,65.0,2,20,0.47,1,0,Low price,Short term,Private host
2992,Friedrichshain-Kreuzberg,52.50234,13.44578,Entire home/apt,59.0,3,1,0.01,1,0,Low price,Short term,Private host
2993,Pankow,52.54943,13.41552,Entire home/apt,38.0,68,11,0.49,1,185,Low price,Long term,Private host
2994,Neukölln,52.4882,13.42652,Private room,38.0,3,11,0.16,1,0,Low price,Short term,Private host
2995,Pankow,52.55029,13.40958,Entire home/apt,80.0,3,9,0.2,1,1,Middle price,Short term,Private host
2996,Tempelhof - Schöneberg,52.47679,13.33229,Entire home/apt,70.0,14,1,0.01,1,0,Low price,Short term,Private host
2997,Treptow - Köpenick,52.44043,13.55235,Private room,23.0,1,0,,1,0,Low price,Short term,Private host
2998,Pankow,52.53341,13.41221,Entire home/apt,110.0,63,2,0.06,1,194,Middle price,Long term,Private host
2999,Pankow,52.53335,13.42035,Private room,46.0,1,1,0.01,1,0,Low price,Short term,Private host
3000,Friedrichshain-Kreuzberg,52.51163,13.46146,Entire home/apt,45.0,7,3,0.05,1,0,Low price,Short term,Private host
3001,Tempelhof - Schöneberg,52.49451,13.35038,Entire home/apt,36.0,5,2,0.03,4,0,Low price,Short term,Commercial host
3002,Pankow,52.53655,13.42711,Private room,85.0,1,2,0.03,1,0,Middle price,Short term,Private host
3003,Pankow,52.54145,13.41023,Private room,22.0,5,7,0.11,2,0,Low price,Short term,Private host
3004,Pankow,52.56449,13.39385,Entire home/apt,45.0,5,1,0.01,1,0,Low price,Short term,Private host
3005,Mitte,52.5525,13.3486,Private room,21.0,3,2,0.03,1,0,Low price,Short term,Private host
3006,Mitte,52.54003,13.35682,Entire home/apt,40.0,4,30,0.42,1,0,Low price,Short term,Private host
3007,Friedrichshain-Kreuzberg,52.49212,13.39308,Entire home/apt,40.0,2,46,0.64,1,312,Low price,Long term,Private host
3008,Mitte,52.52549,13.40271,Private room,40.0,2,0,,2,0,Low price,Short term,Private host
3009,Neukölln,52.46814,13.4301,Private room,26.0,3,5,0.07,1,0,Low price,Short term,Private host
3010,Pankow,52.55291,13.40007,Entire home/apt,153.0,5,2,0.11,1,0,Middle price,Short term,Private host
3011,Mitte,52.553,13.38697,Private room,9.0,3,13,0.2,3,0,Low price,Short term,Commercial host
3012,Friedrichshain-Kreuzberg,52.49083,13.37835,Entire home/apt,75.0,2,339,4.84,8,303,Low price,Long term,Commercial host
3013,Neukölln,52.46698,13.44006,Entire home/apt,57.0,2,180,3.06,8,336,Low price,Long term,Commercial host
3014,Neukölln,52.46957,13.43331,Private room,64.0,4,20,0.28,2,33,Low price,Short term,Private host
3015,Mitte,52.54166,13.36269,Entire home/apt,36.0,2,1,0.01,1,0,Low price,Short term,Private host
3016,Neukölln,52.48691,13.44714,Private room,20.0,12,5,0.07,1,0,Low price,Short term,Private host
3017,Pankow,52.53774,13.42163,Entire home/apt,50.0,1,33,0.46,1,0,Low price,Short term,Private host
3018,Charlottenburg-Wilm.,52.50748,13.30271,Private room,25.0,1,5,0.07,3,0,Low price,Short term,Commercial host
3019,Pankow,52.54742,13.4159,Entire home/apt,70.0,1,2,0.03,1,0,Low price,Short term,Private host
3020,Mitte,52.54889,13.36275,Entire home/apt,29.0,2,8,0.11,1,0,Low price,Short term,Private host
3021,Spandau,52.55612,13.22283,Entire home/apt,220.0,2,14,0.2,6,275,Middle price,Long term,Commercial host
3022,Tempelhof - Schöneberg,52.45145,13.37406,Entire home/apt,35.0,3,0,,1,0,Low price,Short term,Private host
3023,Friedrichshain-Kreuzberg,52.5222,13.43295,Entire home/apt,50.0,1,2,0.03,1,0,Low price,Short term,Private host
3024,Friedrichshain-Kreuzberg,52.50429,13.39161,Private room,35.0,3,1,0.01,1,0,Low price,Short term,Private host
3025,Treptow - Köpenick,52.48921,13.4415,Entire home/apt,50.0,1,1,0.01,1,0,Low price,Short term,Private host
3026,Tempelhof - Schöneberg,52.40862,13.41711,Entire home/apt,40.0,5,19,0.28,1,0,Low price,Short term,Private host
3027,Friedrichshain-Kreuzberg,52.50826,13.46067,Private room,30.0,7,10,0.15,1,224,Low price,Long term,Private host
3028,Pankow,52.55671,13.40635,Private room,25.0,25,7,0.15,2,0,Low price,Short term,Private host
3029,Pankow,52.55175,13.41588,Entire home/apt,57.0,3,58,0.89,1,0,Low price,Short term,Private host
3030,Mitte,52.55227,13.38886,Entire home/apt,18.0,1,0,,1,0,Low price,Short term,Private host
3031,Charlottenburg-Wilm.,52.51221,13.28882,Entire home/apt,78.0,2,11,0.18,8,10,Low price,Short term,Commercial host
3032,Charlottenburg-Wilm.,52.52714,13.30128,Entire home/apt,75.0,500,20,0.28,1,365,Low price,Long term,Private host
3033,Neukölln,52.47433,13.44998,Private room,60.0,2,6,0.08,1,0,Low price,Short term,Private host
3034,Charlottenburg-Wilm.,52.49468,13.29637,Entire home/apt,44.0,1,60,0.84,1,359,Low price,Long term,Private host
3035,Friedrichshain-Kreuzberg,52.48985,13.3791,Private room,30.0,2,10,0.17,2,0,Low price,Short term,Private host
3036,Mitte,52.53403,13.34848,Entire home/apt,75.0,3,0,,1,0,Low price,Short term,Private host
3037,Pankow,52.53119,13.42605,Entire home/apt,32.0,10,1,0.01,1,0,Low price,Short term,Private host
3038,Friedrichshain-Kreuzberg,52.5234,13.45054,Private room,23.0,1,0,,1,0,Low price,Short term,Private host
3039,Mitte,52.54982,13.35189,Private room,28.0,30,35,0.49,2,20,Low price,Short term,Private host
3040,Friedrichshain-Kreuzberg,52.51721,13.43166,Private room,31.0,4,4,0.06,1,0,Low price,Short term,Private host
3041,Neukölln,52.49419,13.4248,Private room,39.0,3,1,0.01,1,0,Low price,Short term,Private host
3042,Mitte,52.52298,13.40112,Private room,45.0,2,95,1.61,1,0,Low price,Short term,Private host
3043,Lichtenberg,52.51539,13.47976,Entire home/apt,60.0,3,1,0.01,1,0,Low price,Short term,Private host
3044,Neukölln,52.47532,13.45115,Entire home/apt,78.0,28,30,0.57,1,0,Low price,Short term,Private host
3045,Charlottenburg-Wilm.,52.49695,13.31364,Entire home/apt,53.0,1,2,0.03,1,0,Low price,Short term,Private host
3046,Friedrichshain-Kreuzberg,52.50908,13.45779,Entire home/apt,99.0,1,1,0.01,1,0,Middle price,Short term,Private host
3047,Friedrichshain-Kreuzberg,52.50933,13.45887,Entire home/apt,40.0,2,3,0.04,1,0,Low price,Short term,Private host
3048,Friedrichshain-Kreuzberg,52.49392,13.43525,Private room,38.0,2,58,0.83,2,328,Low price,Long term,Private host
3049,Neukölln,52.47578,13.44964,Private room,30.0,20,3,0.05,1,0,Low price,Short term,Private host
3050,Neukölln,52.48779,13.43252,Entire home/apt,62.0,4,3,0.04,1,0,Low price,Short term,Private host
3051,Charlottenburg-Wilm.,52.49639,13.31273,Entire home/apt,45.0,180,20,0.28,1,364,Low price,Long term,Private host
3052,Tempelhof - Schöneberg,52.49697,13.34819,Entire home/apt,40.0,2,2,0.03,1,0,Low price,Short term,Private host
3053,Mitte,52.53463,13.39688,Entire home/apt,50.0,1,0,,1,0,Low price,Short term,Private host
3054,Neukölln,52.47454,13.42026,Entire home/apt,45.0,1,0,,1,0,Low price,Short term,Private host
3055,Pankow,52.54209,13.41262,Private room,19.0,5,1,0.01,1,0,Low price,Short term,Private host
3056,Friedrichshain-Kreuzberg,52.51102,13.46306,Entire home/apt,68.0,2,43,0.6,1,0,Low price,Short term,Private host
3057,Neukölln,52.49149,13.42903,Private room,58.0,3,2,0.03,1,0,Low price,Short term,Private host
3058,Steglitz - Zehlendorf,52.46297,13.33212,Private room,20.0,1,2,0.03,1,0,Low price,Short term,Private host
3059,Friedrichshain-Kreuzberg,52.51508,13.46694,Private room,30.0,1,8,0.11,1,0,Low price,Short term,Private host
3060,Neukölln,52.48655,13.42952,Private room,39.0,1,2,0.03,1,0,Low price,Short term,Private host
3061,Marzahn - Hellersdorf,52.5084,13.58765,Entire home/apt,33.0,62,1,0.01,1,347,Low price,Long term,Private host
3062,Mitte,52.52371,13.33646,Private room,20.0,1,1,0.01,1,0,Low price,Short term,Private host
3063,Neukölln,52.46838,13.42698,Entire home/apt,40.0,1,2,0.03,1,0,Low price,Short term,Private host
3064,Pankow,52.53641,13.43807,Private room,22.0,3,8,0.12,1,0,Low price,Short term,Private host
3065,Mitte,52.54034,13.3472,Entire home/apt,35.0,6,0,,1,0,Low price,Short term,Private host
3066,Friedrichshain-Kreuzberg,52.50052,13.4202,Entire home/apt,98.0,1,3,0.04,3,0,Middle price,Short term,Commercial host
3067,Friedrichshain-Kreuzberg,52.5036,13.42588,Private room,69.0,6,51,0.72,1,285,Low price,Long term,Private host
3068,Neukölln,52.47956,13.44142,Entire home/apt,48.0,1,3,0.04,1,0,Low price,Short term,Private host
3069,Pankow,52.54967,13.40387,Entire home/apt,140.0,2,30,0.43,1,289,Middle price,Long term,Private host
3070,Mitte,52.5058,13.41633,Entire home/apt,77.0,2,8,0.11,1,0,Low price,Short term,Private host
3071,Pankow,52.53599,13.4269,Entire home/apt,200.0,5,6,0.25,1,241,Middle price,Long term,Private host
3072,Neukölln,52.49227,13.4299,Entire home/apt,50.0,14,0,,1,0,Low price,Short term,Private host
3073,Pankow,52.54824,13.40795,Private room,39.0,5,0,,1,0,Low price,Short term,Private host
3074,Friedrichshain-Kreuzberg,52.50029,13.42232,Private room,45.0,1,1,0.01,3,0,Low price,Short term,Commercial host
3075,Neukölln,52.47541,13.42431,Private room,27.0,1,1,0.02,1,0,Low price,Short term,Private host
3076,Neukölln,52.47436,13.44878,Entire home/apt,98.0,3,18,0.25,2,23,Middle price,Short term,Private host
3077,Pankow,52.54824,13.42747,Entire home/apt,79.0,5,1,0.01,1,0,Low price,Short term,Private host
3078,Pankow,52.58301,13.39851,Entire home/apt,75.0,1,0,,1,0,Low price,Short term,Private host
3079,Mitte,52.55793,13.3442,Private room,20.0,1,6,0.1,1,0,Low price,Short term,Private host
3080,Pankow,52.54507,13.41307,Entire home/apt,75.0,3,2,0.03,1,0,Low price,Short term,Private host
3081,Neukölln,52.48617,13.43328,Entire home/apt,45.0,2,3,0.04,1,0,Low price,Short term,Private host
3082,Neukölln,52.47545,13.45034,Private room,25.0,5,0,,1,0,Low price,Short term,Private host
3083,Tempelhof - Schöneberg,52.48414,13.36117,Entire home/apt,90.0,7,7,0.14,1,0,Middle price,Short term,Private host
3084,Pankow,52.54491,13.41175,Private room,24.0,1,0,,2,0,Low price,Short term,Private host
3085,Neukölln,52.47957,13.4263,Private room,25.0,3,3,0.04,1,0,Low price,Short term,Private host
3086,Neukölln,52.48752,13.43774,Private room,22.0,3,2,0.04,1,0,Low price,Short term,Private host
3087,Neukölln,52.49253,13.42618,Entire home/apt,55.0,4,5,0.07,1,0,Low price,Short term,Private host
3088,Friedrichshain-Kreuzberg,52.52173,13.43104,Entire home/apt,80.0,2,10,0.14,1,0,Middle price,Short term,Private host
3089,Mitte,52.51741,13.33577,Shared room,15.0,1,0,,1,0,Low price,Short term,Private host
3090,Neukölln,52.47838,13.42412,Entire home/apt,43.0,3,3,0.04,1,0,Low price,Short term,Private host
3091,Mitte,52.54547,13.35813,Entire home/apt,72.0,2,7,0.1,1,0,Low price,Short term,Private host
3092,Friedrichshain-Kreuzberg,52.52183,13.44561,Private room,25.0,1,0,,1,0,Low price,Short term,Private host
3093,Friedrichshain-Kreuzberg,52.51281,13.45203,Private room,16.0,12,3,0.04,1,0,Low price,Short term,Private host
3094,Mitte,52.55112,13.37245,Entire home/apt,28.0,60,2,0.03,2,193,Low price,Long term,Private host
3095,Mitte,52.54985,13.36268,Private room,20.0,1,1,0.02,1,0,Low price,Short term,Private host
3096,Pankow,52.53641,13.42874,Entire home/apt,49.0,1,6,0.09,1,0,Low price,Short term,Private host
3097,Tempelhof - Schöneberg,52.47606,13.37243,Private room,22.0,1,131,7.35,1,38,Low price,Short term,Private host
3098,Tempelhof - Schöneberg,52.487,13.36565,Entire home/apt,2286.0,91,6,0.08,1,363,High price,Long term,Private host
3099,Pankow,52.5388,13.42408,Entire home/apt,76.0,2,29,0.41,1,88,Low price,Short term,Private host
3100,Friedrichshain-Kreuzberg,52.51556,13.46204,Entire home/apt,41.0,5,2,0.1,1,0,Low price,Short term,Private host
3101,Friedrichshain-Kreuzberg,52.50735,13.4695,Entire home/apt,44.0,1,2,0.03,1,0,Low price,Short term,Private host
3102,Friedrichshain-Kreuzberg,52.5182,13.44678,Private room,49.0,2,12,0.17,1,0,Low price,Short term,Private host
3103,Neukölln,52.47986,13.43984,Private room,20.0,3,2,0.03,1,0,Low price,Short term,Private host
3104,Neukölln,52.48668,13.42984,Entire home/apt,43.0,4,2,0.03,1,0,Low price,Short term,Private host
3105,Mitte,52.52439,13.337,Private room,22.0,4,2,0.03,1,0,Low price,Short term,Private host
3106,Charlottenburg-Wilm.,52.51049,13.28835,Private room,44.0,1,310,4.44,8,50,Low price,Short term,Commercial host
3107,Friedrichshain-Kreuzberg,52.49152,13.42245,Entire home/apt,50.0,1,0,,1,0,Low price,Short term,Private host
3108,Charlottenburg-Wilm.,52.51029,13.29012,Private room,41.0,1,365,5.22,8,49,Low price,Short term,Commercial host
3109,Neukölln,52.47545,13.44768,Private room,59.0,2,8,0.11,1,0,Low price,Short term,Private host
3110,Mitte,52.51669,13.41257,Entire home/apt,120.0,2,265,5.12,1,113,Middle price,Middle term,Private host
3111,Neukölln,52.47101,13.43539,Entire home/apt,59.0,3,10,0.15,1,0,Low price,Short term,Private host
3112,Neukölln,52.47405,13.44655,Private room,33.0,2,18,0.29,1,11,Low price,Short term,Private host
3113,Pankow,52.54683,13.44607,Entire home/apt,25.0,1,0,,1,0,Low price,Short term,Private host
3114,Mitte,52.52409,13.39575,Private room,47.0,1,423,5.95,1,64,Low price,Short term,Private host
3115,Tempelhof - Schöneberg,52.49437,13.3565,Entire home/apt,50.0,21,2,0.03,1,0,Low price,Short term,Private host
3116,Pankow,52.56653,13.40635,Private room,28.0,5,1,0.01,1,0,Low price,Short term,Private host
3117,Friedrichshain-Kreuzberg,52.52118,13.45307,Entire home/apt,125.0,3,135,2.05,2,334,Middle price,Long term,Private host
3118,Charlottenburg-Wilm.,52.51097,13.28811,Private room,42.0,1,337,4.75,8,50,Low price,Short term,Commercial host
3119,Mitte,52.56479,13.38943,Entire home/apt,65.0,1,7,0.1,1,0,Low price,Short term,Private host
3120,Neukölln,52.47388,13.44708,Entire home/apt,50.0,5,17,0.24,1,1,Low price,Short term,Private host
3121,Mitte,52.53981,13.35284,Private room,20.0,14,1,0.01,1,0,Low price,Short term,Private host
3122,Friedrichshain-Kreuzberg,52.52455,13.45095,Entire home/apt,80.0,7,1,0.02,1,0,Middle price,Short term,Private host
3123,Neukölln,52.46961,13.4316,Private room,25.0,1,1,0.01,1,0,Low price,Short term,Private host
3124,Neukölln,52.47225,13.44138,Private room,22.0,3,2,0.05,1,0,Low price,Short term,Private host
3125,Pankow,52.53767,13.4231,Entire home/apt,95.0,4,0,,1,0,Middle price,Short term,Private host
3126,Pankow,52.55205,13.45463,Entire home/apt,34.0,1,1,0.02,1,0,Low price,Short term,Private host
3127,Pankow,52.54397,13.42045,Private room,38.0,2,214,2.99,1,0,Low price,Short term,Private host
3128,Friedrichshain-Kreuzberg,52.50212,13.43691,Entire home/apt,70.0,1,0,,1,0,Low price,Short term,Private host
3129,Treptow - Köpenick,52.45447,13.52065,Private room,24.0,4,130,1.82,3,40,Low price,Short term,Commercial host
3130,Neukölln,52.47111,13.43153,Private room,20.0,1,3,0.04,1,0,Low price,Short term,Private host
3131,Pankow,52.5522,13.42339,Private room,20.0,4,0,,1,0,Low price,Short term,Private host
3132,Pankow,52.55305,13.4009,Entire home/apt,40.0,3,5,0.07,1,0,Low price,Short term,Private host
3133,Mitte,52.5301,13.40109,Entire home/apt,70.0,2,11,0.16,1,0,Low price,Short term,Private host
3134,Neukölln,52.47962,13.4452,Private room,23.0,3,1,0.01,1,0,Low price,Short term,Private host
3135,Pankow,52.55374,13.4158,Private room,30.0,2,0,,1,0,Low price,Short term,Private host
3136,Neukölln,52.48491,13.43528,Private room,35.0,3,5,0.07,1,0,Low price,Short term,Private host
3137,Mitte,52.53003,13.34387,Private room,26.0,1,0,,1,0,Low price,Short term,Private host
3138,Tempelhof - Schöneberg,52.49626,13.36287,Private room,38.0,5,8,0.11,1,0,Low price,Short term,Private host
3139,Friedrichshain-Kreuzberg,52.51854,13.45383,Private room,35.0,2,69,0.97,1,0,Low price,Short term,Private host
3140,Neukölln,52.47937,13.42647,Entire home/apt,50.0,4,4,0.06,1,0,Low price,Short term,Private host
3141,Friedrichshain-Kreuzberg,52.4886,13.37723,Private room,55.0,2,144,2.03,2,0,Low price,Short term,Private host
3142,Neukölln,52.46504,13.4366,Private room,30.0,1,0,,1,0,Low price,Short term,Private host
3143,Neukölln,52.47224,13.44988,Private room,32.0,1,0,,1,0,Low price,Short term,Private host
3144,Charlottenburg-Wilm.,52.50491,13.32161,Entire home/apt,69.0,4,4,0.06,1,0,Low price,Short term,Private host
3145,Charlottenburg-Wilm.,52.52995,13.29879,Entire home/apt,60.0,365,0,,2,365,Low price,Long term,Private host
3146,Friedrichshain-Kreuzberg,52.51225,13.47268,Private room,40.0,2,30,0.42,1,0,Low price,Short term,Private host
3147,Friedrichshain-Kreuzberg,52.50197,13.45988,Private room,36.0,1,12,0.19,1,0,Low price,Short term,Private host
3148,Pankow,52.52939,13.44965,Private room,48.0,2,3,0.04,1,0,Low price,Short term,Private host
3149,Friedrichshain-Kreuzberg,52.51139,13.46836,Private room,75.0,1,1,0.01,1,0,Low price,Short term,Private host
3150,Charlottenburg-Wilm.,52.52503,13.30802,Entire home/apt,32.0,5,132,2.05,1,320,Low price,Long term,Private host
